"Cryptocurrency","Year","FileName"
"Globalvillage Ecosystem","01/12/2017","Globalvillage Ecosystem.txt"
"Gnosis","22/12/2017","Gnosis.txt"
"GNY","17/05/2019","GNY.txt"
"GoByte","25/09/2018","GoByte.txt"
"GoChain","01/12/2017","GoChain.txt"
"Gold Bits Coin","09/05/2019","Gold Bits Coin.txt"
"Gold Poker","01/02/2019","Gold Poker.txt"
"GoldenFever","05/03/2019","GoldenFever.txt"
"Golem","01/11/2016","Golem.txt"
"GOmics","01/08/2018","GOmics.txt"
"Gosama Final","01/09/2018","Gosama Final.txt"
"GoWithMi","01/08/2019","GoWithMi.txt"
"gratzio wp","04/09/2018","gratzio wp.txt"
"Graviocoin","01/07/2017","Graviocoin.txt"
"GreenPower","14/06/2019","GreenPower.txt"
"GridCoin","16/10/2013","GridCoin.txt"
"Groestlcoin","09/03/2012","Groestlcoin.txt"
"GSENetwork","01/08/2018","GSENetwork.txt"
